Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
18.0,1.0,0.0,3.0,3.1704046805,12.0,,,,,,,2.1749027962,3.0
15.0,1.0,1.0,1.0,9.7493567093,7.0,,,,,,,2.9744060149,2.0
16.0,0.0,1.0,4.0,7.2824211368,18.0,,,,,,,0.9807358437,4.0
17.0,1.0,3.0,1.0,12.7877284291,4.0,,,,,,,3.101673809,1.0
15.0,0.0,0.0,2.0,2.5807281778,1.0,,,,,,,3.4982573418,1.0
18.0,1.0,0.0,2.0,8.6063285608,14.0,,,,,,,2.5905534451000003,2.0
16.0,1.0,1.0,3.0,5.4941006561,1.0,,,,,,,3.5350037582,0.0
15.0,0.0,2.0,2.0,17.7550304934,10.0,,,,,,,2.8199217453000003,2.0
18.0,0.0,1.0,2.0,0.8117142427,12.0,,,,,,,2.0165967745,3.0
18.0,1.0,0.0,1.0,18.2745498801,22.0,,,,,,,1.3711850389,4.0
18.0,1.0,0.0,1.0,16.6598827711,9.0,,,,,,,2.104795588,3.0
15.0,1.0,0.0,3.0,5.9514143288,2.0,,,,,,,3.0304390887,1.0
15.0,0.0,2.0,1.0,15.7858130935,4.0,,,,,,,3.5824218723,0.0
15.0,1.0,0.0,1.0,0.6242712068,2.0,,,,,,,2.426546706,3.0
17.0,0.0,0.0,2.0,19.3373110059,5.0,,,,,,,3.1614362703,1.0
15.0,0.0,3.0,1.0,10.5318988518,12.0,,,,,,,2.1226385296,3.0
15.0,1.0,0.0,4.0,6.0656205213,9.0,,,,,,,2.204860581,3.0
15.0,0.0,3.0,2.0,7.2516642519,18.0,,,,,,,1.1829875005,4.0
17.0,1.0,1.0,2.0,1.3281070692,7.0,,,,,,,2.7387957163000003,2.0
15.0,1.0,2.0,3.0,19.7869902808,17.0,,,,,,,2.237901301,3.0
18.0,1.0,0.0,0.0,0.785838903,2.0,,,,,,,3.1394815464,1.0
15.0,1.0,0.0,1.0,13.098142463,23.0,,,,,,,1.0460447711,4.0
18.0,1.0,2.0,2.0,8.8547185541,23.0,,,,,,,0.8164582452,4.0
18.0,0.0,2.0,1.0,18.9783243638,16.0,,,,,,,2.0335446205,3.0
18.0,0.0,2.0,2.0,4.9199948061,7.0,,,,,,,2.4320785228,3.0
17.0,1.0,0.0,3.0,10.6417364788,9.0,,,,,,,2.6597713195,2.0
17.0,1.0,2.0,2.0,9.6471241717,1.0,,,,,,,3.5888879398,0.0
17.0,0.0,2.0,1.0,14.057328881,11.0,,,,,,,2.3145876278,3.0
15.0,0.0,1.0,4.0,1.360204639,22.0,,,,,,,1.0072258202,4.0
18.0,0.0,2.0,2.0,3.8757826005,5.0,,,,,,,2.8816123215,2.0
17.0,0.0,2.0,2.0,4.2912964019,1.0,,,,,,,2.8045049289,2.0
17.0,1.0,1.0,1.0,14.7630150968,20.0,,,,,,,1.7629211241,4.0
15.0,1.0,0.0,3.0,3.7827739265,22.0,,,,,,,1.119911263,4.0
17.0,0.0,0.0,2.0,11.4698352778,23.0,,,,,,,1.0306575057,4.0
15.0,1.0,0.0,2.0,4.30487641,2.0,,,,,,,3.0756193537,1.0
16.0,0.0,0.0,3.0,17.2324990017,16.0,,,,,,,2.6314340651,2.0
17.0,1.0,0.0,1.0,18.8437090898,28.0,,,,,,,0.5030669073,4.0
16.0,0.0,0.0,2.0,10.3698594988,6.0,,,,,,,2.7842378371,2.0
15.0,1.0,0.0,3.0,7.0461776842,28.0,,,,,,,0.2476267651,4.0
18.0,0.0,0.0,1.0,4.6811555003,20.0,,,,,,,1.1895487696,4.0
17.0,0.0,2.0,2.0,0.9956200305,4.0,,,,,,,3.3759940088,1.0
15.0,1.0,3.0,3.0,5.3700015239,22.0,,,,,,,1.2935735564,4.0
18.0,0.0,0.0,2.0,13.0847155989,0.0,,,,,,,3.7185869043,0.0
18.0,1.0,3.0,2.0,10.6723386262,7.0,,,,,,,2.6705596148,2.0
16.0,1.0,1.0,3.0,18.8808255656,11.0,,,,,,,2.3696480134,3.0
15.0,0.0,0.0,3.0,7.9255452498,13.0,,,,,,,1.6244868202,4.0
18.0,1.0,0.0,1.0,13.8772668466,15.0,,,,,,,2.5374768278,2.0
17.0,1.0,1.0,0.0,9.7864549495,9.0,,,,,,,2.2984179285,3.0
17.0,1.0,2.0,2.0,10.2515243185,14.0,,,,,,,2.2598041505,3.0
16.0,1.0,2.0,2.0,5.3554862921,20.0,,,,,,,1.3213433009,4.0
18.0,1.0,0.0,2.0,9.0990155368,23.0,,,,,,,0.9499742281,4.0
15.0,0.0,0.0,2.0,9.4156999403,25.0,,,,,,,0.8187866161,4.0
17.0,1.0,0.0,1.0,14.132850435,14.0,,,,,,,2.3392245128,3.0
18.0,1.0,0.0,2.0,18.8127999837,9.0,,,,,,,2.682776288,2.0
18.0,1.0,0.0,1.0,6.5864255497,20.0,,,,,,,1.5438374711,4.0
16.0,1.0,0.0,2.0,0.8440093716,27.0,,,,,,,0.1969011048,4.0
17.0,1.0,2.0,2.0,9.92590251,6.0,,,,,,,2.7486102574,2.0
17.0,0.0,3.0,1.0,10.889226643,25.0,,,,,,,1.1048937877,4.0
15.0,1.0,0.0,1.0,3.3688110226,2.0,,,,,,,2.5534398114,2.0
17.0,0.0,3.0,2.0,15.2092921255,1.0,,,,,,,3.2742334588,1.0
15.0,0.0,0.0,2.0,19.6985821688,5.0,,,,,,,3.186060378,1.0
17.0,0.0,0.0,1.0,18.9154943402,20.0,,,,,,,1.7221157502,4.0
16.0,0.0,0.0,4.0,3.9421207765,8.0,,,,,,,2.3380463576,3.0
17.0,1.0,1.0,2.0,17.507264798,9.0,,,,,,,3.2739987484,1.0
15.0,0.0,3.0,4.0,14.0898727282,3.0,,,,,,,2.9935023912,2.0
15.0,0.0,1.0,2.0,9.0769312761,26.0,,,,,,,0.8963978990000001,4.0
16.0,1.0,0.0,2.0,10.8122198865,2.0,,,,,,,2.9610552588,2.0
17.0,1.0,1.0,3.0,16.9920034996,8.0,,,,,,,2.6743510955,2.0
17.0,1.0,0.0,2.0,9.6026987928,23.0,,,,,,,1.2178731513,4.0
16.0,0.0,2.0,2.0,7.4641473821,21.0,,,,,,,1.3655911103,4.0
17.0,1.0,1.0,1.0,9.8649498605,16.0,,,,,,,1.5222748447,4.0
17.0,1.0,0.0,2.0,11.5825960807,13.0,,,,,,,2.2314023974,3.0
15.0,0.0,1.0,1.0,3.7815530756,9.0,,,,,,,2.1352663549,3.0
17.0,1.0,1.0,1.0,18.0181546053,12.0,,,,,,,2.255698915,3.0
17.0,1.0,0.0,0.0,13.4837389766,11.0,,,,,,,2.7511457876,2.0
16.0,1.0,1.0,0.0,12.6653783467,26.0,,,,,,,0.8976341586000001,4.0
16.0,1.0,0.0,4.0,1.9899245236,0.0,,,,,,,3.1173544348,1.0
18.0,0.0,2.0,1.0,12.0834787635,27.0,,,,,,,1.2875951313,4.0
15.0,1.0,2.0,2.0,2.4192132448,21.0,,,,,,,0.571053098,4.0
17.0,1.0,2.0,3.0,1.5739535039,28.0,,,,,,,0.5813557995,4.0
17.0,0.0,1.0,2.0,10.5462179128,18.0,,,,,,,1.6434624041,4.0
18.0,1.0,1.0,1.0,8.0557106809,18.0,,,,,,,1.2348440408,4.0
17.0,0.0,0.0,2.0,11.7762054031,5.0,,,,,,,2.9680936196000003,2.0
15.0,1.0,2.0,2.0,1.7844433611,12.0,,,,,,,2.0092984797,3.0
18.0,0.0,0.0,2.0,8.6196612569,18.0,,,,,,,1.1460860341,4.0
15.0,0.0,0.0,2.0,3.4957343009,12.0,,,,,,,2.1923631979,3.0
18.0,0.0,0.0,4.0,19.7420017185,26.0,,,,,,,0.9457308733,4.0
18.0,0.0,0.0,2.0,11.2230042487,25.0,,,,,,,0.5672500285000001,4.0
16.0,1.0,1.0,1.0,13.7487372188,21.0,,,,,,,0.9707643471,4.0
15.0,0.0,0.0,2.0,6.5083656137,20.0,,,,,,,1.6560601255,4.0
17.0,1.0,2.0,0.0,1.8947782956,3.0,,,,,,,2.8393132492,2.0
17.0,0.0,0.0,3.0,19.5174172557,23.0,,,,,,,0.1898180599,4.0
15.0,0.0,0.0,1.0,5.7251807077,1.0,,,,,,,3.258294685,1.0
17.0,0.0,1.0,1.0,8.4761637035,14.0,,,,,,,1.9200558527,4.0
17.0,1.0,0.0,3.0,12.9972784341,11.0,,,,,,,2.0217714944,3.0
15.0,0.0,0.0,2.0,0.4939459537,29.0,,,,,,,0.1259330746,4.0
18.0,1.0,2.0,1.0,16.2051826103,26.0,,,,,,,1.2870134124,4.0
15.0,1.0,0.0,2.0,10.7315638006,6.0,,,,,,,2.5914267032,2.0
18.0,1.0,2.0,3.0,5.5643437414,19.0,,,,,,,1.4633796485,4.0
17.0,1.0,0.0,1.0,1.2321597058,17.0,,,,,,,1.4655493864,4.0
17.0,1.0,0.0,3.0,3.2499683095,22.0,,,,,,,1.7104668377,4.0
17.0,1.0,2.0,0.0,17.9006771771,12.0,,,,,,,2.2885056853,3.0
16.0,1.0,0.0,2.0,13.7204844787,16.0,,,,,,,1.9609688487,4.0
18.0,1.0,0.0,3.0,4.9980344327,3.0,,,,,,,2.6216233263,2.0
16.0,1.0,0.0,1.0,1.3120152989,24.0,,,,,,,0.7683163860000001,4.0
16.0,0.0,0.0,2.0,13.8123062477,13.0,,,,,,,1.8064063454,4.0
15.0,0.0,2.0,1.0,11.4481545194,19.0,,,,,,,0.8818663531,4.0
16.0,0.0,0.0,2.0,8.0903904892,27.0,,,,,,,0.8170682207000001,4.0
15.0,0.0,2.0,2.0,7.2722289838,12.0,,,,,,,1.4461325277,4.0
15.0,0.0,2.0,2.0,4.3362855186,2.0,,,,,,,3.3390943622,1.0
16.0,1.0,0.0,1.0,13.3922251308,25.0,,,,,,,0.8196254779000001,4.0
18.0,1.0,3.0,1.0,19.4133605559,25.0,,,,,,,0.6768179731,4.0
18.0,1.0,0.0,0.0,3.5143049167,17.0,,,,,,,1.3895448745,4.0
18.0,1.0,3.0,1.0,11.9423324003,13.0,,,,,,,1.991508414,4.0
18.0,1.0,0.0,2.0,8.4837011149,14.0,,,,,,,1.6398675504,4.0
18.0,1.0,1.0,3.0,8.9337744349,2.0,,,,,,,2.5117430206,2.0
16.0,1.0,0.0,2.0,5.0829456026,0.0,,,,,,,2.9839199496,2.0
16.0,0.0,0.0,2.0,16.5026975132,25.0,,,,,,,1.2586548544,4.0
17.0,0.0,1.0,4.0,9.7051120829,23.0,,,,,,,1.4179299274,4.0
18.0,0.0,2.0,2.0,10.868117044,16.0,,,,,,,1.5970165724,4.0
16.0,0.0,0.0,3.0,6.0952182559,2.0,,,,,,,3.0886998682,1.0
17.0,1.0,0.0,2.0,3.6361693133,13.0,,,,,,,1.6413414428,4.0
18.0,1.0,2.0,1.0,1.7182077641,2.0,,,,,,,2.5868706563,2.0
15.0,1.0,1.0,0.0,14.2823828185,12.0,,,,,,,2.3890326452,3.0
17.0,0.0,3.0,2.0,3.9246856338,14.0,,,,,,,1.8981464003,4.0
16.0,1.0,2.0,1.0,13.8015070838,17.0,,,,,,,2.110487975,3.0
15.0,1.0,3.0,1.0,7.8075289209,13.0,,,,,,,1.7002735894,4.0
15.0,1.0,2.0,2.0,8.3154960198,20.0,,,,,,,1.0444999951,4.0
15.0,0.0,0.0,2.0,9.3835499219,25.0,,,,,,,1.1941661338,4.0
17.0,1.0,0.0,2.0,7.3541701626,2.0,,,,,,,2.6491368282,2.0
16.0,0.0,2.0,1.0,2.0123995445,18.0,,,,,,,1.2341413889,4.0
15.0,0.0,1.0,1.0,6.1926362001,7.0,,,,,,,2.1274088659,3.0
18.0,0.0,0.0,2.0,13.2746872139,3.0,,,,,,,2.9138876491000003,2.0
15.0,0.0,0.0,4.0,13.3156880294,3.0,,,,,,,3.1193939132,1.0
15.0,1.0,3.0,2.0,5.7244861448,18.0,,,,,,,1.0363787383,4.0
17.0,0.0,1.0,3.0,9.2020525312,10.0,,,,,,,2.403284547,3.0
17.0,0.0,0.0,2.0,3.8689445602,0.0,,,,,,,3.1565080639,1.0
16.0,1.0,0.0,2.0,4.2074416306,7.0,,,,,,,2.7234718587,2.0
18.0,1.0,0.0,1.0,0.4609417681,14.0,,,,,,,1.5309511463,4.0
17.0,0.0,0.0,2.0,17.9349309982,0.0,,,,,,,3.4685813491,1.0
15.0,1.0,0.0,2.0,4.2141333015,6.0,,,,,,,2.3020320443,3.0
16.0,0.0,0.0,2.0,4.5506775387000005,20.0,,,,,,,1.2656779092,4.0
15.0,0.0,2.0,2.0,5.5920286529,19.0,,,,,,,1.4796022277,4.0
15.0,0.0,0.0,2.0,2.5481614339,19.0,,,,,,,1.4450767192,4.0
17.0,0.0,2.0,1.0,12.7852576636,23.0,,,,,,,0.8094338104000001,4.0
16.0,1.0,2.0,2.0,1.5028590636,10.0,,,,,,,2.15023327,3.0
18.0,0.0,0.0,1.0,2.6840485265,26.0,,,,,,,0.5591437155,4.0
18.0,1.0,1.0,3.0,12.8951345318,28.0,,,,,,,0.5807884852,4.0
17.0,1.0,0.0,1.0,6.7932124096,13.0,,,,,,,1.602089196,4.0
17.0,1.0,2.0,0.0,14.158956534,21.0,,,,,,,1.0027983636,4.0
16.0,1.0,0.0,2.0,11.1484948934,15.0,,,,,,,1.6630634532,4.0
18.0,0.0,1.0,2.0,5.1204234612,13.0,,,,,,,1.5315464597,4.0
18.0,1.0,1.0,2.0,13.0165590098,11.0,,,,,,,2.205842147,3.0
18.0,0.0,0.0,1.0,2.3254736059,16.0,,,,,,,1.155338561,4.0
15.0,1.0,0.0,2.0,10.7282076616,13.0,,,,,,,2.1537583399,3.0
18.0,1.0,1.0,1.0,8.7429621009,9.0,,,,,,,2.5927866863,2.0
15.0,0.0,2.0,3.0,5.3574716563,23.0,,,,,,,0.9123305071,4.0
16.0,0.0,0.0,3.0,12.0800999548,28.0,,,,,,,0.6956309335,4.0
15.0,0.0,1.0,2.0,17.4266718468,13.0,,,,,,,2.1396198914,3.0
16.0,1.0,0.0,1.0,19.9780939953,17.0,,,,,,,1.5504493309,4.0
18.0,1.0,2.0,2.0,12.1552553749,21.0,,,,,,,1.5475367004,4.0
18.0,0.0,0.0,0.0,8.0941174866,8.0,,,,,,,2.9665480343,2.0
16.0,0.0,2.0,2.0,4.5041420043,16.0,,,,,,,1.633679371,4.0
17.0,0.0,0.0,1.0,5.1419217879,5.0,,,,,,,2.3325403195,3.0
16.0,0.0,0.0,3.0,9.589099563,7.0,,,,,,,3.2702623094,1.0
17.0,1.0,0.0,0.0,7.3455540256,25.0,,,,,,,0.3464705926,4.0
15.0,0.0,0.0,2.0,18.2762904525,12.0,,,,,,,1.8949043363,4.0
15.0,0.0,1.0,2.0,7.3659093531,17.0,,,,,,,1.4567426011,4.0
15.0,0.0,0.0,2.0,7.4688918229,4.0,,,,,,,2.5537231513,2.0
18.0,0.0,2.0,0.0,7.6706902487,5.0,,,,,,,2.2241974612,3.0
15.0,1.0,0.0,4.0,16.7324042074,20.0,,,,,,,1.8476004181,4.0
17.0,0.0,0.0,2.0,13.0157664169,18.0,,,,,,,1.8497607071,4.0
15.0,1.0,0.0,2.0,12.2833770064,3.0,,,,,,,3.2687942156,1.0
16.0,0.0,0.0,1.0,6.6828604477,6.0,,,,,,,2.5465166372,2.0
16.0,0.0,0.0,2.0,16.3580835366,3.0,,,,,,,3.1012292205,1.0
18.0,1.0,0.0,2.0,0.7672772271,24.0,,,,,,,0.655954078,4.0
16.0,0.0,0.0,0.0,17.4159434468,10.0,,,,,,,3.0885123056,1.0
17.0,1.0,0.0,1.0,10.2549979959,11.0,,,,,,,1.9925598055,4.0
15.0,1.0,1.0,3.0,7.9650046973,13.0,,,,,,,2.6052474455,2.0
18.0,0.0,1.0,1.0,9.9433456144,12.0,,,,,,,1.7339724542,4.0
15.0,1.0,0.0,1.0,13.3483106107,28.0,,,,,,,1.1138487879,4.0
15.0,1.0,0.0,2.0,0.2553085304,9.0,,,,,,,1.6492502517,4.0
17.0,1.0,3.0,2.0,17.4310371292,17.0,,,,,,,1.3375549802,4.0
16.0,1.0,1.0,0.0,8.9347905062,15.0,,,,,,,1.9846599186,4.0
16.0,1.0,1.0,2.0,6.8593303940000006,4.0,,,,,,,3.060881656,1.0
15.0,1.0,0.0,1.0,2.7649113127,7.0,,,,,,,2.3928973584,3.0
18.0,1.0,2.0,0.0,8.7893074872,13.0,,,,,,,2.0837969901,3.0
16.0,1.0,2.0,0.0,9.9264554257,4.0,,,,,,,3.6457380488,0.0
18.0,0.0,1.0,3.0,8.0729338899,25.0,,,,,,,0.3222860816,4.0
16.0,0.0,3.0,1.0,13.5732018765,27.0,,,,,,,1.1295143344,4.0
18.0,1.0,0.0,0.0,8.4179305752,23.0,,,,,,,0.6307569439,4.0
17.0,0.0,0.0,2.0,19.2283515569,7.0,,,,,,,3.1572296388,1.0
18.0,1.0,2.0,3.0,11.9855503565,24.0,,,,,,,0.6800877875,4.0
17.0,1.0,2.0,1.0,16.149558713,25.0,,,,,,,0.7963598479,4.0
